,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
198,django-tenants/django-tenants,1081,270,926,[],860
199,hvac/hvac,1076,337,1307,"['python', 'vault', 'hashicorp', 'client', 'api', 'hacktoberfest']",2270
200,ring04h/weakfilescan,1066,489,58,[],513
201,standardebooks/tools,1061,102,2946,"['ebook', 'python', 'epub', 'epub3']",75953
202,Nextdoor/ndscheduler,1059,179,106,[],411
203,logpai/logparser,1057,475,197,"['log', 'log-mining', 'log-analysis', 'log-parser', 'log-parsing', 'anomaly-detection']",8555
204,CPJKU/madmom,1056,167,1746,"['audio-analysis', 'signal-processing', 'machine-learning', 'music-information-retrieval', 'python', 'numpy', 'scipy', 'cython']",6471
205,jacebrowning/memegen,1048,158,1448,"['memes', 'api', 'pillow', 'python', 'meme-generator', 'sanic', 'images']",309908
206,Gallopsled/pwntools-tutorial,1043,221,58,[],64
207,whyliam/whyliam.workflows.youdao,1040,89,90,"['alfred', 'workflows', 'youdao', 'translation', 'python', 'alfred-workflow']",15922
208,karolpiczak/ESC-50,1039,256,42,"['dataset', 'environmental-sounds', 'audio']",899888
209,RealmTeam/django-rest-framework-social-oauth2,1015,182,97,"['python', 'django', 'django-rest-framework', 'python-social-auth', 'oauth2']",82
210,kynan/nbstripout,1009,85,362,"['jupyter', 'jupyter-notebook', 'ipython', 'ipython-notebook', 'git', 'filter', 'hooks', 'hacktoberfest']",261
211,Alexis-benoist/eralchemy,1007,101,260,"['sql', 'database', 'schema', 'mysql', 'sqlalchemy', 'postgresql', 'visualization', 'documentation-tool']",1248
212,akelleh/causality,1006,124,126,[],346
213,google/textfsm,1002,172,48,[],185
214,AtsushiSakai/PythonRobotics,18029,5307,1824,"['python', 'robotics', 'algorithm', 'path-planning', 'control', 'animation', 'localization', 'slam', 'cvxpy', 'ekf', 'autonomous-vehicles', 'autonomous-driving', 'mapping', 'autonomous-navigation', 'robot', 'hacktoberfest']",299039
